,x
1,Co6_S1
2,Co6_S1
3,Co6_S1
4,Co6_S1
5,Co6_S1
6,Co6_S1
7,Co6_S1
8,Co6_S1
9,Co6_S1
10,Co6_S1
11,Co6_S1
12,Co6_S1
13,Co6_S1
14,Co6_S1
15,Co6_S1
16,Co6_S1
17,Co6_S1
18,Co6_S1
19,Co6_S1
20,Co6_S1
21,Co6_S1
22,Co6_S1
23,Co6_S1
24,Co6_S1
25,Co6_S1
26,Co6_S1
27,Co6_S1
28,Co6_S1
29,Co6_S1
30,Co6_S1
31,Co6_S1
32,Co6_S1
33,Co6_S1
34,Co6_S1
35,Co6_S1
36,Co6_S1
37,Co6_S1
38,Co6_S1
39,Co6_S1
40,Co6_S1
41,Co6_S1
42,Co6_S1
43,Co6_S1
44,Co6_S1
45,Co6_S1
46,Co6_S1
47,Co6_S1
48,Co6_S1
49,Co6_S1
50,Co6_S1
51,Co6_S1
52,Co6_S1
53,Co6_S1
54,Co6_S1
55,Co6_S1
56,Co6_S1
57,Co6_S1
58,Co6_S1
59,Co6_S1
60,Co6_S1
61,Co6_S1
62,Co6_S1
63,Co6_S1
64,Co6_S1
65,Co6_S1
66,Co6_S1
67,Co6_S1
68,Co6_S1
69,Co6_S1
70,Co6_S1
71,LuC_S1
72,LuC_S1
73,LuC_S1
74,LuC_S1
75,LuC_S1
76,LuC_S1
77,LuC_S1
78,LuC_S1
79,LuC_S1
80,LuC_S1
81,LuC_S1
82,LuC_S1
83,LuC_S1
84,LuC_S1
85,LuC_S1
86,LuC_S1
87,LuC_S1
88,LuC_S1
89,LuC_S1
90,LuC_S1
91,LuC_S1
92,LuC_S1
93,LuC_S1
94,LuC_S1
95,LuC_S1
96,LuC_S1
97,LuC_S1
98,LuC_S1
99,LuC_S1
100,LuC_S1
101,LuC_S1
102,LuC_S1
103,MeC_S1
104,MeC_S1
105,MeC_S1
106,MeC_S1
107,MeC_S1
108,MeC_S1
109,MeC_S1
110,MeC_S1
111,MeC_S1
112,MeC_S1
113,MeC_S1
114,MeC_S1
115,MeC_S1
116,MeC_S1
117,MeC_S1
118,MeC_S1
119,MeC_S1
120,MeC_S1
121,MeC_S1
122,MeC_S1
123,MeC_S1
124,MeC_S1
125,MeC_S1
126,MeC_S1
127,MeC_S1
128,MeC_S1
129,MeC_S1
130,MeC_S1
131,MeC_S1
132,MeC_S1
133,MeC_S1
134,MeC_S1
135,MeC_S1
136,MeC_S1
137,MeC_S1
138,OvC_S1
139,OvC_S1
140,OvC_S1
141,OvC_S1
142,OvC_S1
143,OvC_S1
144,OvC_S1
145,OvC_S1
146,OvC_S1
147,OvC_S1
148,OvC_S1
149,OvC_S1
150,OvC_S1
151,OvC_S1
152,OvC_S1
153,PaC_S1
154,PaC_S1
155,PaC_S1
156,PaC_S1
157,PaC_S1
158,PaC_S1
159,PaC_S1
160,PaC_S1
161,PaC_S1
162,PaC_S1
163,PaC_S1
164,PaC_S1
165,PaC_S1
166,PaC_S1
167,PaC_S1
168,PaC_S1
169,PaC_S1
170,PaC_S1
171,PaC_S1
172,PaC_S1
173,PaC_S1
174,PaC_S1
175,PaC_S1
176,PaC_S1
177,PaC_S1
178,PaC_S1
179,PaC_S1
180,PaC_S1
181,PaC_S1
182,PaC_S1
183,PaC_S1
184,PaC_S1
185,PaC_S1
186,PaC_S1
187,PaC_S1
188,PaC_S1
189,PaC_S1
190,PaC_S1
191,PaC_S1
192,PaC_S1
193,PaC_S1
194,PaC_S1
195,PaC_S1
196,PaC_S1
197,PaC_S1
198,PrC_S1
199,PrC_S1
200,PrC_S1
201,PrC_S1
202,PrC_S1
203,PrC_S1
204,PrC_S1
205,PrC_S1
206,PrC_S1
207,PrC_S1
208,PrC_S1
209,PrC_S1
210,PrC_S1
211,PrC_S1
212,PrC_S1
213,PrC_S1
214,PrC_S1
215,PrC_S1
216,PrC_S1
217,PrC_S1
218,PrC_S1
219,PrC_S1
220,PrC_S1
221,GaC_S1
222,GaC_S1
223,GaC_S1
224,GaC_S1
225,GaC_S1
226,GaC_S1
227,GaC_S1
228,GaC_S1
229,GaC_S1
230,GaC_S1
231,GaC_S1
232,GaC_S1
233,GaC_S1
