,x
1,1_Co6_S1
2,2_Co6_S1
3,3_Co6_S1
4,4_Co6_S1
5,5_Co6_S1
6,6_Co6_S1
7,7_Co6_S1
8,8_Co6_S1
9,9_Co6_S1
10,10_Co6_S1
11,11_Co6_S1
12,12_Co6_S1
13,13_Co6_S1
14,14_Co6_S1
15,15_Co6_S1
16,16_Co6_S1
17,17_Co6_S1
18,18_Co6_S1
19,19_Co6_S1
20,20_Co6_S1
21,21_Co6_S1
22,22_Co6_S1
23,23_Co6_S1
24,24_Co6_S1
25,25_Co6_S1
26,26_Co6_S1
27,27_Co6_S1
28,28_Co6_S1
29,29_Co6_S1
30,30_Co6_S1
31,31_Co6_S1
32,32_Co6_S1
33,33_Co6_S1
34,34_Co6_S1
35,35_Co6_S1
36,36_Co6_S1
37,37_Co6_S1
38,38_Co6_S1
39,39_Co6_S1
40,40_Co6_S1
41,41_Co6_S1
42,42_Co6_S1
43,43_Co6_S1
44,44_Co6_S1
45,45_Co6_S1
46,46_Co6_S1
47,47_Co6_S1
48,48_Co6_S1
49,49_Co6_S1
50,50_Co6_S1
51,51_Co6_S1
52,52_Co6_S1
53,53_Co6_S1
54,54_Co6_S1
55,55_Co6_S1
56,56_Co6_S1
57,57_Co6_S1
58,58_Co6_S1
59,59_Co6_S1
60,60_Co6_S1
61,61_Co6_S1
62,62_Co6_S1
63,63_Co6_S1
64,64_Co6_S1
65,65_Co6_S1
66,66_Co6_S1
67,67_Co6_S1
68,68_Co6_S1
69,69_Co6_S1
70,70_Co6_S1
71,1_LuC_S1
72,2_LuC_S1
73,3_LuC_S1
74,4_LuC_S1
75,5_LuC_S1
76,6_LuC_S1
77,7_LuC_S1
78,8_LuC_S1
79,9_LuC_S1
80,10_LuC_S1
81,11_LuC_S1
82,12_LuC_S1
83,13_LuC_S1
84,14_LuC_S1
85,15_LuC_S1
86,16_LuC_S1
87,17_LuC_S1
88,18_LuC_S1
89,19_LuC_S1
90,20_LuC_S1
91,21_LuC_S1
92,22_LuC_S1
93,23_LuC_S1
94,24_LuC_S1
95,25_LuC_S1
96,26_LuC_S1
97,27_LuC_S1
98,28_LuC_S1
99,29_LuC_S1
100,30_LuC_S1
101,31_LuC_S1
102,32_LuC_S1
103,1_MeC_S1
104,2_MeC_S1
105,3_MeC_S1
106,4_MeC_S1
107,5_MeC_S1
108,6_MeC_S1
109,7_MeC_S1
110,8_MeC_S1
111,9_MeC_S1
112,10_MeC_S1
113,11_MeC_S1
114,12_MeC_S1
115,13_MeC_S1
116,14_MeC_S1
117,15_MeC_S1
118,16_MeC_S1
119,17_MeC_S1
120,18_MeC_S1
121,19_MeC_S1
122,20_MeC_S1
123,21_MeC_S1
124,22_MeC_S1
125,23_MeC_S1
126,24_MeC_S1
127,25_MeC_S1
128,26_MeC_S1
129,27_MeC_S1
130,28_MeC_S1
131,29_MeC_S1
132,30_MeC_S1
133,31_MeC_S1
134,32_MeC_S1
135,33_MeC_S1
136,34_MeC_S1
137,35_MeC_S1
138,1_OvC_S1
139,2_OvC_S1
140,3_OvC_S1
141,4_OvC_S1
142,5_OvC_S1
143,6_OvC_S1
144,7_OvC_S1
145,8_OvC_S1
146,9_OvC_S1
147,10_OvC_S1
148,11_OvC_S1
149,12_OvC_S1
150,13_OvC_S1
151,14_OvC_S1
152,15_OvC_S1
153,1_PaC_S1
154,2_PaC_S1
155,3_PaC_S1
156,4_PaC_S1
157,5_PaC_S1
158,6_PaC_S1
159,7_PaC_S1
160,8_PaC_S1
161,9_PaC_S1
162,10_PaC_S1
163,11_PaC_S1
164,12_PaC_S1
165,13_PaC_S1
166,14_PaC_S1
167,15_PaC_S1
168,16_PaC_S1
169,17_PaC_S1
170,18_PaC_S1
171,19_PaC_S1
172,20_PaC_S1
173,21_PaC_S1
174,22_PaC_S1
175,23_PaC_S1
176,24_PaC_S1
177,25_PaC_S1
178,26_PaC_S1
179,27_PaC_S1
180,28_PaC_S1
181,29_PaC_S1
182,30_PaC_S1
183,31_PaC_S1
184,32_PaC_S1
185,33_PaC_S1
186,34_PaC_S1
187,35_PaC_S1
188,36_PaC_S1
189,37_PaC_S1
190,38_PaC_S1
191,39_PaC_S1
192,40_PaC_S1
193,41_PaC_S1
194,42_PaC_S1
195,43_PaC_S1
196,44_PaC_S1
197,45_PaC_S1
198,1_PrC_S1
199,2_PrC_S1
200,3_PrC_S1
201,4_PrC_S1
202,5_PrC_S1
203,6_PrC_S1
204,7_PrC_S1
205,8_PrC_S1
206,9_PrC_S1
207,10_PrC_S1
208,11_PrC_S1
209,12_PrC_S1
210,13_PrC_S1
211,14_PrC_S1
212,15_PrC_S1
213,16_PrC_S1
214,17_PrC_S1
215,18_PrC_S1
216,19_PrC_S1
217,20_PrC_S1
218,21_PrC_S1
219,22_PrC_S1
220,23_PrC_S1
221,1_GaC_S1
222,2_GaC_S1
223,3_GaC_S1
224,4_GaC_S1
225,5_GaC_S1
226,6_GaC_S1
227,7_GaC_S1
228,8_GaC_S1
229,9_GaC_S1
230,10_GaC_S1
231,11_GaC_S1
232,12_GaC_S1
233,13_GaC_S1
